Country,Government,Scientist,RnD_ratio,Access_Finance,Overall_Index,Research_Development,Gross_tertiary_education_enrollment
Albania,43.57,49.19,0.120845,60.75,43.23,13.33,55
Algeria,64.98,84.42,0.2590179,55.08,40.54,32.96,51.4
Argentina,43.52,89.37,0.5052292,45.34,56,35.46,90
Australia,74.49,93.85,2.0109043,88.81,89.89,66.5,113.1
Austria,73.87,95.68,3.2029377,79.44,80.04,57.32,85.1
Belgium,59.38,98.09,3.4786112,75.26,92.13,57.85,79.7
Bosnia_Herzegovina,24.64,76.15,0.20614,71.48,49.24,20.53,23.3
Brazil,42.98,79.73,1.1192444,73.1,71.66,61.94,51.3
Bulgaria,39.35,87.88,0.85351,68.3,66.7,43.41,71
Burkina_Faso,52.23,63.25,0.24824,56.8,19.02,10.24,6.5
Cambodia,92.7,82.31,0.084015,85.22,30.45,8.66,13.7
Canada,76.49,93.45,1.6953389,86.91,89.93,69.96,68.9
Chile,30.76,82.34,0.3583525,86.92,65.19,40.66,88.5
Colombia,41.05,75.03,0.2882811,69.11,51.54,39.87,55.3
Costa_Rica,46.33,81.71,0.4436381,70.85,57.93,16.94,55.2
Croatia,43.4,91.31,1.24844,69.71,65.11,33.69,67.9
Cyprus,49.85,82.5,0.82234,84.19,72.43,42.92,75.9
Czech_Republic,46.44,97.1,1.9908341,68.6,76.7,51.51,64.1
Denmark,84.56,97.87,2.9633957,92.17,92.11,56.34,80.6
Ecuador,27.48,57.2,0.245415,65.19,42.82,29.58,44.9
Egypt,80.7,91.51,0.9617236,53.63,48.44,42.32,35.2
El_Salvador,75.33,62.71,0.1111408,70.53,35.23,9.78,29.4
Estonia,55.19,96.61,1.79247,72.11,77.19,37.81,69.6
Ethiopia,82.54,82.03,0.2931759,47.45,14.39,20.99,8.1
Finland,81.69,96.92,2.9342106,81.58,92.12,60.27,88.2
France,57.53,92.07,2.3540457,83.93,88.81,71.61,65.6
Gabon,34.57,41.52,0.5021567,41.76,35.57,3.08,8.3
Georgia,58.59,80.81,0.3008,74.61,51.64,21.19,63.9
Germany,81.44,93.06,3.1362468,77.91,92.47,78.27,70.2
Ghana,63.51,67.05,0.30406,42.77,33.88,19.27,15.7
Greece,45.16,89.68,1.4955141,78.26,64.61,32.65,136.6
Hungary,53.44,94.47,1.6099855,60.34,73.5,41.52,48.5
